p0 y= 716 x= 262 w= 93 h=16 | TextField | kip
p0 y= 716 x= 371 w= 89 h=16 | TextField | poch
p0 y= 716 x= 466 w= 82 h=16 | TextField | im gr
p0 y= 699 x=  54 w=188 h=22 | TextField | Imię postaci
p0 y= 691 x= 262 w= 93 h=16 | TextField | rasa
p0 y= 691 x= 371 w= 89 h=16 | TextField | char
p0 y= 691 x= 466 w= 82 h=16 | TextField | pd
p0 y= 631 x=  95 w= 27 h=27 | TextField | ins
p0 y= 608 x= 219 w= 47 h=27 | TextField | kp
p0 y= 608 x= 272 w= 50 h=27 | TextField | ini
p0 y= 608 x= 328 w= 50 h=27 | TextField | szyb
p0 y= 605 x=  38 w= 44 h=25 | TextField | Pole tekstowe 29
p0 y= 600 x= 407 w=148 h=49 | TextField | c os
p0 y= 596 x=  95 w= 30 h=27 | TextField | pr z b
p0 y= 586 x=  49 w= 24 h=16 | TextField | Pole tekstowe 30
p0 y= 579 x= 285 w= 90 h=13 | TextField | max PW
p0 y= 572 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 31
p0 y= 571 x= 113 w= 17 h=13 | TextField | S
p0 y= 559 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 36
p0 y= 558 x= 113 w= 17 h=13 | TextField | Zr
p0 y= 547 x= 225 w=149 h=27 | TextField | akt PW
p0 y= 546 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 37
p0 y= 545 x= 113 w= 17 h=13 | TextField | K
p0 y= 545 x= 407 w=148 h=38 | TextField | idealy
p0 y= 536 x=  38 w= 44 h=25 | TextField | Pole tekstowe 31
p0 y= 533 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 38
p0 y= 532 x= 113 w= 17 h=13 | TextField | int
p0 y= 520 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 39
p0 y= 519 x= 113 w= 17 h=13 | TextField | M
p0 y= 517 x=  49 w= 24 h=16 | TextField | Pole tekstowe 32
p0 y= 507 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 40
p0 y= 506 x= 113 w= 17 h=13 | TextField | Ch
p0 y= 497 x= 225 w=149 h=27 | TextField | Tymcz PW
p0 y= 492 x= 407 w=148 h=38 | TextField | wiezi
p0 y= 468 x=  38 w= 44 h=25 | TextField | Pole tekstowe 33
p0 y= 465 x= 250 w= 39 h=10 | TextField | Łącznie
p0 y= 462 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 41
p0 y= 461 x= 112 w= 17 h=13 | TextField | Pole tekstowe 133
p0 y= 461 x= 338 w=  8 h= 8 | CheckBox  | Pole wyboru 59
p0 y= 461 x= 350 w=  8 h= 8 | CheckBox  | Pole wyboru 60
p0 y= 461 x= 363 w=  8 h= 8 | CheckBox  | Pole wyboru 61
p0 y= 449 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 42
p0 y= 448 x=  49 w= 24 h=16 | TextField | Pole tekstowe 34
p0 y= 448 x= 112 w= 17 h=13 | TextField | Pole tekstowe 134
p0 y= 447 x= 338 w=  8 h= 8 | CheckBox  | Pole wyboru 62
p0 y= 447 x= 350 w=  8 h= 8 | CheckBox  | Pole wyboru 63
p0 y= 447 x= 363 w=  8 h= 8 | CheckBox  | Pole wyboru 64
p0 y= 439 x= 220 w= 76 h=22 | TextField | Kosc W
p0 y= 439 x= 407 w=148 h=38 | TextField | slabo
p0 y= 436 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 43
p0 y= 435 x= 112 w= 17 h=13 | TextField | Pole tekstowe 135
p0 y= 423 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 44
p0 y= 422 x= 112 w= 17 h=13 | TextField | Pole tekstowe 136
p0 y= 410 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 45
p0 y= 409 x= 112 w= 17 h=13 | TextField | Pole tekstowe 137
p0 y= 399 x=  38 w= 44 h=25 | TextField | Pole tekstowe 35
p0 y= 397 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 46
p0 y= 396 x= 112 w= 17 h=13 | TextField | Pole tekstowe 138
p0 y= 389 x= 221 w= 59 h=13 | TextField | nazwa 1
p0 y= 389 x= 286 w= 29 h=13 | TextField | pda1
p0 y= 389 x= 321 w= 57 h=13 | TextField | obr1
p0 y= 384 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 47
p0 y= 383 x= 112 w= 17 h=13 | TextField | Pole tekstowe 139
p0 y= 379 x=  49 w= 24 h=16 | TextField | Pole tekstowe 36
p0 y= 371 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 48
p0 y= 370 x= 112 w= 17 h=13 | TextField | Pole tekstowe 140
p0 y= 369 x= 221 w= 59 h=13 | TextField | nazwa 2
p0 y= 369 x= 286 w= 29 h=13 | TextField | pda2
p0 y= 369 x= 321 w= 57 h=13 | TextField | obr2
p0 y= 358 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 49
p0 y= 357 x= 112 w= 17 h=13 | TextField | Pole tekstowe 141
p0 y= 349 x= 221 w= 59 h=13 | TextField | nazwa 3
p0 y= 349 x= 286 w= 29 h=13 | TextField | pda3
p0 y= 349 x= 321 w= 57 h=13 | TextField | obr3
p0 y= 345 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 50
p0 y= 344 x= 112 w= 17 h=13 | TextField | Pole tekstowe 142
p0 y= 332 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 51
p0 y= 331 x= 112 w= 17 h=13 | TextField | Pole tekstowe 143
p0 y= 330 x=  38 w= 44 h=25 | TextField | Pole tekstowe 37
p0 y= 319 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 52
p0 y= 318 x= 112 w= 17 h=13 | TextField | Pole tekstowe 144
p0 y= 311 x=  49 w= 24 h=16 | TextField | Pole tekstowe 38
p0 y= 306 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 53
p0 y= 305 x= 112 w= 17 h=13 | TextField | Pole tekstowe 145
p0 y= 293 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 54
p0 y= 292 x= 112 w= 17 h=13 | TextField | Pole tekstowe 146
p0 y= 280 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 55
p0 y= 279 x= 112 w= 17 h=13 | TextField | Pole tekstowe 147
p0 y= 267 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 56
p0 y= 266 x= 112 w= 17 h=13 | TextField | Pole tekstowe 148
p0 y= 261 x=  38 w= 44 h=25 | TextField | Pole tekstowe 39
p0 y= 254 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 57
p0 y= 253 x= 112 w= 17 h=13 | TextField | Pole tekstowe 149
p0 y= 242 x=  49 w= 24 h=16 | TextField | Pole tekstowe 40
p0 y= 241 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 58
p0 y= 240 x= 112 w= 17 h=13 | TextField | zwinne dlonie 150
p0 y= 234 x= 219 w=161 h=117 | TextField | ataki i magia
p0 y= 191 x=  31 w= 32 h=25 | TextField | Pasywna Madrosc
p0 y= 186 x= 219 w= 41 h=21 | TextField | SM
p0 y= 161 x= 219 w= 41 h=21 | TextField | SS
p0 y= 136 x= 219 w= 41 h=21 | TextField | SE
p0 y= 111 x= 219 w= 41 h=21 | TextField | SZ
p0 y=  86 x= 219 w= 41 h=21 | TextField | SP
p0 y=  54 x=  38 w=161 h=129 | TextField | pozost biegl
p0 y=  54 x= 261 w=119 h=161 | TextField | wyposazenie
p0 y=  54 x= 400 w=161 h=361 | TextField | korzysci i zdolnosci
p1 y= 716 x= 256 w= 93 h=16 | TextField | wiek
p1 y= 716 x= 368 w= 76 h=16 | TextField | wzrost
p1 y= 716 x= 463 w= 97 h=16 | TextField | waga
p1 y= 697 x=  51 w=188 h=22 | TextField | Imię postaci 2
p1 y= 691 x= 256 w= 93 h=16 | TextField | oczy
p1 y= 691 x= 368 w= 76 h=16 | TextField | skora
p1 y= 691 x= 463 w= 97 h=16 | TextField | wkosy
p1 y= 616 x= 416 w=132 h=16 | TextField | nazwa
p1 y= 502 x= 412 w=138 h=112 | TextField | obrazek
p1 y= 439 x= 217 w=165 h=219 | TextField | soj
p1 y= 439 x= 397 w=165 h=44 | TextField | soj 2
p1 y= 435 x=  29 w=163 h=221 | TextField | wygl
p1 y= 212 x= 217 w=165 h=207 | TextField | pozost korz
p1 y= 212 x= 399 w=165 h=207 | TextField | pozost korz2
p1 y=  38 x=  29 w=163 h=371 | TextField | hiat
p1 y=  36 x= 217 w=165 h=154 | TextField | majatek
p1 y=  36 x= 399 w=165 h=154 | TextField | majatek2
p2 y= 699 x= 270 w= 74 h=33 | TextField | CB
p2 y= 699 x= 370 w= 74 h=33 | TextField | ST
p2 y= 699 x= 472 w= 74 h=33 | TextField | PR
p2 y= 697 x=  51 w=188 h=22 | TextField | Imię postaci 3
p2 y= 616 x= 231 w= 40 h=25 | TextField | K 2
p2 y= 616 x= 284 w= 99 h=25 | TextField | W 2
p2 y= 616 x= 415 w= 40 h=25 | TextField | K 5
p2 y= 616 x= 467 w= 99 h=25 | TextField | W 5
p2 y= 599 x=  32 w=162 h=13 | TextField | czar
p2 y= 598 x= 212 w=  8 h= 8 | CheckBox  | kropka 26
p2 y= 598 x= 222 w=159 h=13 | TextField | czar 34
p2 y= 598 x= 397 w=  8 h= 8 | CheckBox  | kropka 61
p2 y= 598 x= 408 w=159 h=13 | TextField | czar 69
p2 y= 585 x=  32 w=162 h=13 | TextField | czar 1
p2 y= 584 x= 212 w=  8 h= 8 | CheckBox  | kropka 27
p2 y= 584 x= 222 w=159 h=13 | TextField | czar 35
p2 y= 584 x= 397 w=  8 h= 8 | CheckBox  | kropka 62
p2 y= 584 x= 408 w=159 h=13 | TextField | czar 70
p2 y= 571 x=  32 w=162 h=13 | TextField | czar 2
p2 y= 571 x= 212 w=  8 h= 8 | CheckBox  | kropka 28
p2 y= 571 x= 397 w=  8 h= 8 | CheckBox  | kropka 63
p2 y= 570 x= 222 w=159 h=13 | TextField | czar 36
